part_one,separator,part_two
Va răsări soarele,și,pe ulița noastră.
A ajuns un papugiu,",",țipă ca un surugiu.
A dat Dumnezeu boale,dar,a dat și leacuri.
A luat meșterul ilăul,",",strică bun și fac răul.
A nu avea nici sfânt,",",nici Dumnezeu.
A tăcut cucul,",",a trecut vara.
A vorbit într-un ceas rău,că,l-a lăsat Dumnezeu.
A vorbit și nea Ion,că,este și el om.
Ai început să te uiți numai la Dumnezeu,ca,găina când bea apă.
Ai lucrat bine vara,",",ai și grâu și secară.
Ai scăpat vremea,",",ai scăpat roada.
Așa-i omul,",","dacă moare, nu mai bea."
Aurul se încearcă la foc,și,prietenul la nevoie.
Azi aici,",",mâine-n Focșani.
Baba a căzut din pod,și,tot s-a hodinit la jumătate.
Baba bătrână nu se teme," ",de vorba groasă.
Baba călătoare," ",n-are sărbătoare.
Bacșisul să fie cât de mic,",",că-l vrea și domn și calic.
"Bagă-l în casă, te fură",",","dă-l afară, te înjură."
Bani au mulți,însă,cinste n-au toți.
